"name","1900","1910","1920","1930","1940","1950","1960","1970","1980","1990","2000","2010","2020","2030","2040","2050","2060"
"Gardner Creek","10564370.068359375","12562170.013427734","12849629.864501953","11016149.896240234","8118800.1098632812","12473609.997558594","14894109.997558594","14838979.833984375","15368449.768066406","11519039.910888672","15190959.924316406","10564370.068359375","12920275.87890625","13495500.9765625","15985910.815429688","13935001.397705078","14659341.815185547"
"Grace Creek","2975560.05859375","5080089.8681640625","5457040.0268554688","3977020.0439453125","1712379.9926757812","5588260.0769042969","6792570.0988769531","7027120.01953125","7326760.0280761719","4588370.01953125","6434630.0415039062","2975560.05859375","5000786.3830566406","5118398.876953125","7581034.912109375","5237150.341796875","6621563.5498046875"
"Grave Creek","7099530.1025390625","10636530.2734375","11905069.970703125","9568209.9792480469","6037840.1611328125","11686100.054931641","13510370.050048828","13262079.943847656","13459199.853515625","9777540.1245117188","11715570.111083984","7099530.1025390625","10397772.930908203","10618856.860351562","14129618.218994141","10488704.125976562","12593841.918945312"
"Greenhills Creek","5344650.0183105469","7700309.9487304688","8379259.9914550781","6501529.9194335938","3212020.2087402344","8483139.9658203125","10315519.995117188","10750650.024414062","11123860.144042969","7060019.9279785156","9682929.9255371094","5344650.0183105469","7917549.365234375","8152514.0258789062","11325865.966796875","8224541.845703125","10053427.001953125"
"Harmer Creek","4573330.1513671875","7627850.1953125","8545350.0671386719","6812169.9462890625","4201949.8413085938","8390519.9645996094","9811969.9157714844","9430669.970703125","9518969.8303222656","6862780.0415039062","8038730.0231933594","4573330.1513671875","7415872.0642089844","7570072.7294921875","10102915.8203125","7372891.0278320312","9223347.2290039062"
"Hartley Creek","13676659.991455078","23501060.107421875","23023880.035400391","18898599.682617188","14153339.739990234","22735850.036621094","25754149.871826172","25404020.050048828","24258419.909667969","19011620.062255859","21940330.090332031","13676659.991455078","20060609.851074219","20242863.342285156","26765660.009765625","20083078.802490234","24130360.931396484"
"Henretta Creek","24495979.858398438","27506299.938964844","28154169.915771484","25922299.90234375","21179340.026855469","29864189.94140625","31152999.859619141","33485680.139160156","34727069.787597656","27471939.660644531","33122779.888916016","24495979.858398438","30443597.937011719","31999987.725830078","36236626.708984375","32280495.001220703","34396111.932373047"
"Hornickel Creek","1511479.9072265625","2582150.1037597656","2414919.9890136719","1621680.1025390625","261639.92919921875","2548339.9047851562","3363480.0598144531","3550140.0329589844","3829500.0610351562","2173200.0122070312","3554300.0854492188","1511479.9072265625","2251140.9118652344","2472059.2163085938","3768424.12109375","2576152.099609375","3108599.0112304688"
"Kilmarnock Creek","19867780.102539062","22351639.862060547","23277950.006103516","21199980.261230469","17084309.887695312","24315119.830322266","25478460.083007812","27556419.866943359","28211989.990234375","22272439.84375","27038859.918212891","19867780.102539062","24410445.794677734","25689302.142333984","29752718.865966797","26031285.357666016","27786003.961181641"
"Lake Mountain & Clode Creeks","6455060.1013183594","8405289.9719238281","8416850.0366210938","6953509.8754882812","3915620.068359375","8719019.8120117188","10707749.816894531","11115080.029296875","11489019.866943359","7586679.9438476562","10403620.001220703","6455060.1013183594","8559587.1704101562","9041151.9165039062","11692769.213867188","9173524.951171875","10538650.939941406"
